selected,csv_file,scenario,name,sector,util,building_type,size,climate,lca,lshp,care,kwh_bin,customer_count,kwh_ann_gross,kwh_ann_net,annual_cooking,annual_dishwasher,annual_dryer,annual_freezer,annual_ventilation,annual_indoor_lighting,annual_other,annual_pool_pump,annual_refrigeration,annual_spa_heater,annual_spa_pump,annual_television,annual_washer,annual_outdoor_lighting,annual_water_heating,annual_office_equipment,annual_pc,annual_ev_level1,annual_ev_level2,annual_heating,annual_cooling,annual_gross,annual_pv_generation,annual_net,annual_gross_excl_cooling,annual_net_excl_cooling,annual_gross_excl_heating,annual_net_excl_heating
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,NiteFlat+Flat,nonCare,60_80pct,4968.40266835695,10738416.84270391,10738416.84270391,72.90713918868664,18.41723913392684,76.08758768151704,77.94829809996085,50.245895931150386,197.345973624851,565.9557592408651,123.88912736517932,408.7719141720057,32.8359583707725,11.792719772538058,96.62654282812417,17.118247827086563,65.13072159519263,86.1767914003552,3.161802464216275,86.05237788662282,29.615592599639115,47.53871687202169,366.03906697148295,238.6733080766637,2672.3307811028585,0.0,2672.3307811028585,2433.657473026195,2433.657473026195,2306.2917141313756,2306.2917141313756
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,FlatCool,nonCare,60_80pct,6719.063587957207,51993430.68925606,49385038.32539865,266.44144436640835,66.15207263984452,283.3621840872139,245.28466098324148,161.98304821766925,618.7935709620663,1747.83918214736,446.37792933134324,1283.679830356077,102.43862503962713,38.74967139484978,310.0601818648139,67.95675426343165,204.22241738683377,266.61643219346075,9.764583437722973,265.7552561863395,125.95456508536589,229.40678521199274,833.7550337897935,877.8875295084224,8452.481758453878,388.20772116705587,8064.274037286822,7574.594228945456,7186.3865077784,7618.726724664085,7230.519003497028
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,DayEve,nonCare,60_80pct,10872.57695475397,109027027.2371412,92558953.68985777,373.277499559351,91.99979192533934,399.8897164841349,315.91168280359557,213.38703299713188,813.8574358836659,2245.772405299484,614.3535806692641,1655.17150273414,131.26144420519282,51.283425701148694,409.14535356437113,97.23225764566433,268.5999673623004,348.2751018152539,12.546367112986367,341.46495112515356,86.2774231971998,165.1518214121966,869.9226467608103,1399.6337254149062,10904.41513367329,1514.6430892892251,9389.772044384064,9504.781408258385,7990.138318969159,10034.492486912479,8519.849397623255
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,MrnEve,nonCare,60_80pct,12219.88140249168,106478435.5028003,91886714.99823172,318.69862171859734,77.89499717288189,331.7477608689515,274.4365312484154,189.07676847250278,712.0592592852408,1968.7336673360087,512.1343457839871,1439.1563443152509,117.73797665965785,43.98868884250415,346.29051741608606,80.59823062349608,235.00319020416055,322.63147216199025,10.998645846661217,299.34179612723767,160.10801865741288,294.17718814501006,916.5379995950941,826.8274502120785,9478.179470693227,1194.0967366175312,8284.082734075695,8651.352020481147,7457.255283863617,8561.641471098132,7367.544734480601
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,EarlyEve,nonCare,60_80pct,26575.40971245854,192270963.4636132,178424972.6399923,274.34354864837854,66.46569074914868,280.28977008948254,224.251687056318,157.14864926778867,588.9974140762847,1598.0081524993436,422.19911959027684,1175.78350899134,98.67576747050593,35.68745792290253,304.0084072565059,66.93722621355035,194.3886966217797,249.73696945311855,8.927528401137431,242.97376457344893,115.37883286244582,228.75928053492643,779.3774703290228,902.9936415977281,8015.332584205434,521.0076146871202,7494.324969518313,7112.338942607706,6591.331327920585,7235.955113876412,6714.94749918929
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,LateEve,nonCare,60_80pct,10645.73425433781,111499860.0509504,102520834.488275,302.26841279442965,76.42354636423849,319.65135492902203,276.52974888358364,185.09110251736956,719.5266180284184,1975.321554843104,490.33903661975353,1448.2142681730236,116.45642409999144,42.97043409391734,377.0335575130255,74.93095430192183,237.4676664456564,298.0167037235629,11.035450135006748,300.34347050898714,727.4327505088147,1349.898785721087,1024.5575476824233,1011.3735888424914,11364.88297672983,843.4388223636907,10521.444154366138,10353.509387887338,9510.070565523647,10340.325429047407,9496.886606683714
x,anonymized-1in10-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-60_80pct.csv,anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,NitePeak,nonCare,60_80pct,2024.484737852124,36477649.89788553,30612992.98599803,342.9103778030602,89.03432752694194,374.57149063353137,372.99125634296865,228.23226655144342,925.6757664298444,2668.1178565251967,607.3083016409247,1950.8983572437623,147.8651302029312,56.29548159555983,492.5781913474231,84.79888382049707,305.503727911714,372.0164014880461,14.905867598019286,405.6816849849175,2314.453560912642,4762.382051032636,1900.8079795254303,730.5376739239404,19147.56663504143,2896.8639783916574,16250.702656649773,18417.02896111749,15520.164982725832,17246.758655516,14349.894677124343
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,NiteFlat+Flat,nonCare,60_80pct,4968.40266835695,10620501.61943514,10620501.61943514,72.83921408660213,18.400129808032506,76.01657822226129,77.87628744815862,50.19914194812911,197.16331008250245,565.4318296926193,123.77339097676143,408.39408274976773,32.8056198857195,11.781750949331428,96.53772946275654,17.102202149416257,65.07043656325723,86.12294415285534,3.1588754479086028,85.97271550535814,29.616132285515675,47.53961044230189,328.30049864705467,167.52161674140598,2561.624097247716,0.0,2561.624097247716,2394.1024805063103,2394.1024805063103,2233.323598600661,2233.323598600661
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-60_80pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,FlatCool,nonCare,60_80pct,6719.063587957207,50422821.82538763,47814429.46153022,266.1929288235671,66.09046265275653,283.09719753539827,245.0572442651645,161.83218846539393,618.2193865584825,1746.2164770093714,445.96009451093425,1282.4892360676654,102.34378794871633,38.71353347275746,309.7741547322101,67.89296922876716,204.03291747534735,266.4495305800577,9.755517935658164,265.50852729728285,125.95678756517182,229.41160592817897,750.8978104876203,636.4447125865761,8122.337071127079,388.20772116705587,7734.129349960023,7485.892358540503,7097.684637373447,7371.439260639459,6983.231539472402
x,anonymized-1in2-midDemand-with_EE_FS-2025__res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-60_80pct.csv,anonymized-1in2-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-60_80pct,res,pge,res_unknown,allSize,hot_dry,Bay,DayEve,nonCare,60_80pct,10872.57695475397,105074699.5056099,88606625.95832649,372.9289289977554,91.91393334720696,399.5152120127017,315.6179605229398,213.18807442064718,813.1002925946505,2243.6821687292463,613.7777312999434,1653.6321413237436,131.13970056726532,51.23550430080048,408.7666066104575,97.14091450914356,268.35008494585816,348.05662720120677,12.534689671718803,341.1471350692557,86.27869154896037,165.15432217619917,787.5254864768549,1026.4515937592184,10441.137800085773,1514.6430892892251,8926.49471079655,9414.686206326556,7900.04311703733,9653.61231360892,8138.969224319692
