vintage,building_type,size,climate,care,lca,lshp,customer_count
2025,res_unknown,allSize,hot_dry,nonCare,Stockton,NiteFlat+Flat,14930
2025,res_unknown,allSize,hot_dry,nonCare,Stockton,NitePeak,1631
2025,res_unknown,allSize,marine,Care,Bay,AllDay,4390
2025,res_unknown,allSize,marine,Care,Bay,DayEve,56109
2025,res_unknown,allSize,marine,Care,Bay,EarlyEve,113121
2025,res_unknown,allSize,marine,Care,Bay,Flat,10029
2025,res_unknown,allSize,marine,Care,Bay,FlatCool,47983
2025,res_unknown,allSize,marine,Care,Bay,LateEve,80432
2025,res_unknown,allSize,marine,Care,Bay,MrnEve,72389
2025,res_unknown,allSize,marine,Care,Bay,NiteFlat,1741
2025,res_unknown,allSize,marine,Care,Bay,NitePeak,12938
2025,res_unknown,allSize,marine,Care,Humboldt,DayEve,1516
2025,res_unknown,allSize,marine,Care,Humboldt,EarlyEve,4781
2025,res_unknown,allSize,marine,Care,Humboldt,Flat,935
2025,res_unknown,allSize,marine,Care,Humboldt,FlatCool+AllDay,4137
2025,res_unknown,allSize,marine,Care,Humboldt,LateEve+NitePeak,3307
2025,res_unknown,allSize,marine,Care,Humboldt,MrnEve,3884
2025,res_unknown,allSize,marine,Care,NoLCA,allLshp,47572
2025,res_unknown,allSize,marine,Care,North,allLshp,88456
2025,res_unknown,allSize,marine,nonCare,Bay,AllDay,52956
2025,res_unknown,allSize,marine,nonCare,Bay,DayEve,165319
2025,res_unknown,allSize,marine,nonCare,Bay,EarlyEve,455156
2025,res_unknown,allSize,marine,nonCare,Bay,Flat,99361
2025,res_unknown,allSize,marine,nonCare,Bay,FlatCool,234323
2025,res_unknown,allSize,marine,nonCare,Bay,LateEve,339736
2025,res_unknown,allSize,marine,nonCare,Bay,MrnEve,353281
2025,res_unknown,allSize,marine,nonCare,Bay,NiteFlat,84245
2025,res_unknown,allSize,marine,nonCare,Bay,NitePeak,77998
2025,res_unknown,allSize,marine,nonCare,Humboldt,allLshp,44546
2025,res_unknown,allSize,marine,nonCare,NoLCA,AllDay,6899
2025,res_unknown,allSize,marine,nonCare,NoLCA,DayEve,20595
2025,res_unknown,allSize,marine,nonCare,NoLCA,EarlyEve,30278
2025,res_unknown,allSize,marine,nonCare,NoLCA,Flat,12905
2025,res_unknown,allSize,marine,nonCare,NoLCA,FlatCool,21472
2025,res_unknown,allSize,marine,nonCare,NoLCA,LateEve,22085
2025,res_unknown,allSize,marine,nonCare,NoLCA,MrnEve,47512
2025,res_unknown,allSize,marine,nonCare,NoLCA,NiteFlat,5150
2025,res_unknown,allSize,marine,nonCare,NoLCA,NitePeak,3967
2025,res_unknown,allSize,marine,nonCare,North,AllDay,19376
2025,res_unknown,allSize,marine,nonCare,North,DayEve,36041
2025,res_unknown,allSize,marine,nonCare,North,EarlyEve,96483
2025,res_unknown,allSize,marine,nonCare,North,Flat,19366
2025,res_unknown,allSize,marine,nonCare,North,FlatCool,48386
2025,res_unknown,allSize,marine,nonCare,North,LateEve,48190
2025,res_unknown,allSize,marine,nonCare,North,MrnEve,76693
2025,res_unknown,allSize,marine,nonCare,North,NiteFlat,10507
2025,res_unknown,allSize,marine,nonCare,North,NitePeak,8764
2030,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,4153
2030,master_mtr,allSize,marine,Care,allLca,allLshp,971
2030,master_mtr,allSize,marine,nonCare,allLca,allLshp,14995
2030,res_unknown,allSize,hot_dry,Care,Bay,allLshp,73379
2030,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,14362
2030,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,49484
2030,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,83282
2030,res_unknown,allSize,hot_dry,Care,Fresno,Flat,2503
2030,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,18053
2030,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,60923
2030,res_unknown,allSize,hot_dry,Care,Fresno,MrnEve,20625
2030,res_unknown,allSize,hot_dry,Care,Fresno,NiteFlat,1671
2030,res_unknown,allSize,hot_dry,Care,Fresno,NitePeak,2874
2030,res_unknown,allSize,hot_dry,Care,Kern,allLshp,79305
2030,res_unknown,allSize,hot_dry,Care,NoLCA,AllDay,6556
2030,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,34969
2030,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,54659
2030,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,21338
2030,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,37476
2030,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,15918
2030,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,4286
