vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,res_unknown,allSize,hot_dry,Care,Kern,allLshp,20_40pct,16570,0.1525,5165.8,3651.7,9931.7
2025,res_unknown,allSize,hot_dry,Care,Kern,allLshp,40_60pct,16461,0.0724,6924.6,6320.9,8344.1
2025,res_unknown,allSize,hot_dry,Care,Kern,allLshp,60_80pct,15803,0.0343,8800.7,8533.9,7774.6
2025,res_unknown,allSize,hot_dry,Care,Kern,allLshp,80_100pct,15924,0.0087,12816.5,12737.7,9070.2
2025,res_unknown,allSize,hot_dry,Care,NoLCA,AllDay,0_100pct,6273,1.0,9348.0,-261.2,9609.2
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,0_20pct,5612,0.6056,4529.6,-269.4,7924.7
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,20_40pct,7153,0.216,5382.6,3837.0,7154.5
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,40_60pct,6853,0.0771,7069.5,6353.9,9284.1
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,60_80pct,7188,0.0371,9246.8,8939.9,8268.3
2025,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,80_100pct,6656,0.0399,15103.1,14692.8,10270.7
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,0_20pct,7126,0.4911,3241.3,83.7,6429.3
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,20_40pct,11835,0.0805,4130.5,3679.5,5600.6
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,40_60pct,11389,0.0585,6041.5,5575.3,7970.7
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,60_80pct,11262,0.0572,7642.5,7357.4,4988.2
2025,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,80_100pct,10692,0.0,11002.0,11002.0,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,0_20pct,4232,0.0661,2107.9,1673.4,6575.2
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,20_40pct,4155,0.0,3981.6,3981.6,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,40_60pct,4030,0.0,5772.6,5772.6,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,60_80pct,4185,0.0,7805.1,7805.1,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,80_100pct,3816,0.0695,13855.5,12831.9,14736.8
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,0_20pct,6950,0.115,2753.7,1905.2,7376.0
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,20_40pct,7608,0.0189,4812.2,4751.5,3215.6
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,40_60pct,7511,0.0352,6818.9,6728.3,2571.3
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,60_80pct,7095,0.019,9040.5,8822.9,11426.4
2025,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,80_100pct,6697,0.0219,14409.8,14332.6,3522.8
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,0_20pct,2839,0.116,2090.6,1621.4,4044.1
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,20_40pct,3131,0.0426,4041.2,3566.9,11121.4
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,40_60pct,3104,0.0017,6005.8,5989.9,9370.5
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,60_80pct,3224,0.0833,8664.6,7968.1,8361.2
2025,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,80_100pct,2933,0.0898,14755.0,14192.7,6260.6
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,0_25pct,1012,0.0,584.5,584.5,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,25_50pct,1044,0.1303,2738.2,2227.6,3918.0
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,50_75pct,995,0.0,5237.9,5237.9,
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,75_100pct,1049,0.1279,12100.7,11066.1,8087.4
2025,res_unknown,allSize,hot_dry,Care,NoLCA,NitePeak,0_100pct,1094,0.0153,6026.3,5854.8,11237.5
2025,res_unknown,allSize,hot_dry,Care,North,allLshp,0_25pct,125,0.7476,5829.0,-616.9,8622.5
2025,res_unknown,allSize,hot_dry,Care,North,allLshp,25_50pct,151,0.0187,5656.2,5479.4,9430.3
2025,res_unknown,allSize,hot_dry,Care,North,allLshp,50_75pct,145,0.0,7987.6,7987.6,
2025,res_unknown,allSize,hot_dry,Care,North,allLshp,75_100pct,110,0.0,12027.0,12027.0,
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,0_20pct,13953,0.4139,2977.5,-23.9,7250.6
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,20_40pct,21239,0.0841,4151.3,3610.4,6429.5
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,40_60pct,20904,0.0328,6246.3,5946.1,9155.7
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,60_80pct,20157,0.0402,8763.4,8450.2,7789.7
2025,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,80_100pct,19652,0.0481,16247.8,15758.5,10171.8
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,0_20pct,9421,0.4185,2951.5,149.3,6695.5
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,20_40pct,14644,0.0917,4257.5,3579.2,7394.9
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,40_60pct,14637,0.0563,6180.4,5737.2,7867.6
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,60_80pct,14437,0.0557,8281.3,7893.1,6976.2
2025,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,80_100pct,14067,0.0298,12938.7,12800.4,4639.9
2025,res_unknown,allSize,hot_dry,nonCare,Bay,AllDay,0_50pct,11933,1.0,9184.6,-7769.7,16954.3
2025,res_unknown,allSize,hot_dry,nonCare,Bay,AllDay,50_100pct,20392,0.9133,12989.7,4709.8,9065.8
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,0_20pct,6149,1.0,9630.0,-7669.4,17299.4
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,20_40pct,9893,0.8612,7585.1,-223.2,9066.3
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,40_60pct,10303,0.3548,7921.6,4867.5,8609.0
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,60_80pct,10873,0.1636,9664.2,8149.6,9255.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,80_100pct,10381,0.0749,16431.7,15592.9,11204.4
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,0_20pct,16646,1.0,6618.2,-5015.1,11633.2
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,20_40pct,27117,0.3335,4185.6,1716.3,7404.4
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,40_60pct,27074,0.1202,5269.2,4362.3,7545.3
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,60_80pct,26575,0.0797,6977.8,6456.8,6533.2
2025,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,80_100pct,25372,0.0608,10470.4,9796.4,11080.4
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,0_20pct,6993,0.1662,2143.3,398.2,10499.0
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,20_40pct,7058,0.0532,3379.7,2721.9,12366.9
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,40_60pct,6786,0.0192,4908.1,4628.6,14581.2
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,60_80pct,6719,0.0619,7504.4,7116.2,6271.4
2025,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,80_100pct,6598,0.0436,15226.0,14995.3,5294.6
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,0_20pct,9769,0.7109,3913.3,-1102.7,7055.8
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,20_40pct,12037,0.2058,4995.5,3550.7,7021.2
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,40_60pct,11698,0.1414,7175.3,6222.6,6738.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,60_80pct,10646,0.0968,10197.5,9354.0,8717.0
2025,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,80_100pct,9746,0.0914,17278.5,16637.3,7014.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,0_20pct,10102,0.887,4743.0,-1554.5,7099.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,20_40pct,12102,0.1899,4377.9,3260.6,5884.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,40_60pct,11889,0.0809,5985.8,5487.8,6152.6
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,60_80pct,12220,0.1466,8460.7,7266.6,8147.0
2025,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,80_100pct,11841,0.1182,13714.0,12220.4,12633.6
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,0_20pct,5206,0.0091,210.9,169.8,4500.0
