scenario,cluster,end_use,varies_across_selection,penetration,avg_kwh_per_customer_annual,typical_kwh_per_adopter_annual,mode
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,cooking,False,0.53,668.393,1261.119,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,dishwasher,False,0.79,169.081,214.027,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,dryer,False,0.53,734.038,1384.977,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,freezer,False,0.27,700.51,2594.481,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,ventilation,False,0.77,430.786,559.462,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,indoor_lighting,False,1.0,1728.399,1728.399,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,other,False,1.0,5042.592,5042.592,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,pool_pump,False,0.15,1210.527,8070.178,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,refrigeration,False,1.0,3669.007,3669.007,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,spa_heater,False,0.08,281.139,3514.241,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,spa_pump,False,0.12,109.847,915.395,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,television,False,0.65,818.849,1259.768,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,washer,False,0.9,172.92,192.134,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,outdoor_lighting,False,0.74,570.429,770.85,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,water_heating,True,0.1042021705827028,770.139,7390.815,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,office_equipment,False,0.18,28.171,156.507,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,pc,False,0.83,766.715,923.754,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,ev_level1,True,0.0378470719246416,155.491,4108.391,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,ev_level2,True,0.0468396613282238,266.87,5697.515,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,heating,True,0.2526634112685888,685.19,2711.867,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NiteFlat+Flat-80_100pct,cooling,True,0.3088466057927436,145.513,471.15,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,cooking,False,0.53,521.104,983.215,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,dishwasher,False,0.79,129.966,164.514,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,dryer,False,0.53,559.524,1055.705,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,freezer,False,0.27,499.453,1849.825,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,ventilation,False,0.77,324.853,421.888,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,indoor_lighting,False,1.0,1247.198,1247.198,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,other,False,1.0,3569.528,3569.528,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,pool_pump,False,0.15,896.816,5978.77,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,refrigeration,False,1.0,2614.16,2614.16,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,spa_heater,False,0.08,206.027,2575.333,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,spa_pump,False,0.12,78.838,656.982,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,television,False,0.65,612.47,942.261,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,washer,False,0.9,133.901,148.779,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,outdoor_lighting,False,0.74,411.617,556.239,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,water_heating,True,0.1042021705827028,545.293,5233.025,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,office_equipment,False,0.18,19.942,110.787,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,pc,False,0.83,542.739,653.903,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,ev_level1,True,0.1255007386108803,352.847,2811.512,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,ev_level2,True,0.1553201289833002,640.424,4123.25,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,heating,True,0.4297657416805697,571.602,1330.032,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-FlatCool-80_100pct,cooling,True,0.8742963571910964,1126.89,1288.911,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,cooking,False,0.53,619.471,1168.812,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,dishwasher,False,0.79,154.514,195.587,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,dryer,False,0.53,677.951,1279.153,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,freezer,False,0.27,538.373,1993.974,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,ventilation,False,0.77,356.003,462.341,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,indoor_lighting,False,1.0,1365.937,1365.937,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,other,False,1.0,3809.718,3809.718,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,pool_pump,False,0.15,1053.654,7024.359,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,refrigeration,False,1.0,2817.078,2817.078,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,spa_heater,False,0.08,217.394,2717.424,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,spa_pump,False,0.12,87.572,729.765,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,television,False,0.65,686.413,1056.02,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,washer,False,0.9,165.87,184.3,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,outdoor_lighting,False,0.74,450.805,609.195,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,water_heating,True,0.1042021705827029,580.845,5574.211,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,office_equipment,False,0.18,21.284,118.242,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,pc,False,0.83,579.26,697.903,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,ev_level1,True,0.1220935617602657,329.595,2699.526,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,ev_level2,True,0.1511033956495851,618.603,4093.906,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,heating,True,0.1137314911593452,155.099,1363.733,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-DayEve-80_100pct,cooling,True,0.9785264413428804,1670.815,1707.481,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,cooking,False,0.53,503.506,950.011,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,dishwasher,False,0.79,122.913,155.586,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,dryer,False,0.53,526.721,993.813,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,freezer,False,0.27,435.18,1611.779,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,ventilation,False,0.77,299.862,389.431,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,indoor_lighting,False,1.0,1126.967,1126.967,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,other,False,1.0,3129.281,3129.281,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,pool_pump,False,0.15,817.392,5449.278,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,refrigeration,False,1.0,2283.146,2283.146,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,spa_heater,False,0.08,185.709,2321.357,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,spa_pump,False,0.12,70.216,585.134,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,television,False,0.65,537.338,826.674,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,washer,False,0.9,128.737,143.042,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,outdoor_lighting,False,0.74,371.937,502.617,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,water_heating,True,0.1042021705827028,520.431,4994.435,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,office_equipment,False,0.18,17.482,97.123,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,pc,False,0.83,475.801,573.254,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,ev_level1,True,0.1562733302372343,350.27,2241.391,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,ev_level2,True,0.1934043901076515,627.571,3244.866,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,heating,True,0.3590021571026706,593.587,1653.436,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-MrnEve-80_100pct,cooling,True,0.8738679235901932,929.597,1063.773,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,cooking,False,0.53,396.633,748.365,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,dishwasher,False,0.79,96.159,121.72,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,dryer,False,0.53,403.48,761.282,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,freezer,False,0.27,326.094,1207.756,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,ventilation,False,0.77,227.7,295.715,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,indoor_lighting,False,1.0,852.792,852.792,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,other,False,1.0,2319.437,2319.437,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,pool_pump,False,0.15,608.84,4058.933,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,refrigeration,False,1.0,1708.587,1708.587,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,spa_heater,False,0.08,144.013,1800.158,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,spa_pump,False,0.12,51.61,430.083,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,television,False,0.65,442.196,680.302,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,washer,False,0.9,96.385,107.095,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,outdoor_lighting,False,0.74,281.45,380.337,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,water_heating,True,0.1042021705827029,359.636,3451.326,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,office_equipment,False,0.18,12.958,71.988,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,pc,False,0.83,352.666,424.898,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,ev_level1,True,0.1518909693072719,263.002,1731.521,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,ev_level2,True,0.1879807657335865,514.856,2738.877,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,heating,True,0.1030170293298253,71.848,697.437,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-EarlyEve-80_100pct,cooling,True,0.9494811820186184,1341.899,1413.297,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,cooking,False,0.53,465.39,878.094,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,dishwasher,False,0.79,117.1,148.228,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,dryer,False,0.53,489.593,923.761,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,freezer,False,0.27,440.961,1633.188,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,ventilation,False,0.77,290.051,376.689,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,indoor_lighting,False,1.0,1125.544,1125.544,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,other,False,1.0,3148.81,3148.81,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,pool_pump,False,0.15,764.989,5099.928,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,refrigeration,False,1.0,2307.387,2307.387,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,spa_heater,False,0.08,186.446,2330.57,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,spa_pump,False,0.12,68.023,566.858,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,television,False,0.65,580.421,892.955,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,washer,False,0.9,114.679,127.421,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,outdoor_lighting,False,0.74,371.467,501.982,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,water_heating,True,0.1042021705827026,473.373,4542.831,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,office_equipment,False,0.18,17.591,97.73,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,pc,False,0.83,478.77,576.831,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,ev_level1,True,0.4469067405355493,1521.934,3405.485,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,ev_level2,True,0.5530932594644505,2771.0,5010.004,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,heating,True,0.3216594037562074,670.007,2082.969,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-LateEve-80_100pct,cooling,True,0.9225744522958592,1268.076,1374.497,typical
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,cooking,False,0.53,580.494,1095.272,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,dishwasher,False,0.79,152.319,192.808,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,dryer,False,0.53,642.499,1212.262,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,freezer,False,0.27,612.796,2269.614,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,ventilation,False,0.77,378.866,492.034,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,indoor_lighting,False,1.0,1547.758,1547.758,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,other,False,1.0,4383.921,4383.921,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,pool_pump,False,0.15,1022.583,6817.222,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,refrigeration,False,1.0,3206.518,3206.518,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,spa_heater,False,0.08,241.164,3014.555,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,spa_pump,False,0.12,93.323,777.692,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,television,False,0.65,824.29,1268.139,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,washer,False,0.9,147.023,163.359,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,outdoor_lighting,False,0.74,510.811,690.286,average
anonymized-1in10-midDemand-with_EE_FS-2025,res-pge-res_unknown-allSize-hot_dry-nonCare-Bay-NitePeak-80_100pct,water_heating,True,0.1042021705827027,626.523,6012.573,average
